Date,Year,Lat_degN,Lon_degW,Replicate,Discharge_m3persec,NO3,delta15N,delta18O,TN_umolperL,TP_umolperL,NH4,PO4,NO2_umolperL,Li,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,U
20170119,4:00 PM,GC,37.423306,GC3,249,30.38,,,,,3.71,1.77,,1003.746398,1.00,2565.604151,120.44,27.40,355.48,1851.57,3.48,71.14,46.58,25.39,27.01,10.89,22.26,11.35,3091.76,-0.04,0.15,0.01,346.03,0.00,0.24,4.54
20170202,2:30 PM,GC,37.423306,GC1,43,51.51,,,,,2.27,0.29,,1612.536023,0.33,311.9347665,127.70,14.54,579.91,-37.26,2.87,63.01,25.05,323.95,42.83,7.79,29.08,9.57,5478.20,-0.10,0.13,-0.01,591.64,0.00,-0.25,8.16
20170202,2:30 PM,GC,37.423306,GC2,43,50.39,,,,,2.58,0.22,,1603.170029,0.44,259.5255745,112.45,59.19,582.27,-70.01,3.28,60.69,21.43,223.77,42.56,7.31,30.71,9.15,5458.80,-0.13,0.12,-0.01,589.53,0.00,-0.23,8.15
20170202,2:30 PM,GC,37.423306,GC3,43,51.53,,,,,2.01,0.59,,1597.118156,0.44,253.8547072,106.85,56.88,585.00,-40.05,2.88,59.99,20.19,199.91,42.63,8.36,29.75,9.15,5459.94,-0.11,0.12,-0.01,589.97,0.00,-0.28,8.16
20170223,1:50 PM,PL,37.413782,PL1,,34.56,,,,,3.01,1.45,,1364.409222,1.00,1138.991846,58.62,45.71,363.12,2182.63,2.63,64.78,24.97,1134.14,33.79,25.45,31.67,11.65,3660.12,-1.95,0.19,0.08,478.56,0.05,5.08,3.69
20170223,1:50 PM,PL,37.413782,PL2,,33.83,,,,,3.76,1.57,,1372.766571,0.89,756.1156412,44.70,55.12,360.76,1767.77,2.46,64.56,35.56,917.41,33.09,22.53,32.74,12.45,3690.94,-1.97,0.18,0.07,477.03,0.05,5.01,3.63
20170223,1:50 PM,PL,37.413782,PL3,,35.09,,,,,3.66,1.62,,1357.636888,0.67,481.8383988,69.47,48.42,369.86,1274.49,2.38,63.35,27.14,1160.45,32.47,25.45,32.19,11.74,3716.05,-1.96,0.17,0.07,476.59,0.05,4.94,3.73
20170223,2:15 PM,GC,37.423306,GC1,218,39.48,,,,,3.21,1.41,,1188.32853,0.67,976.6493699,55.56,56.13,309.97,1725.34,2.46,58.53,24.55,1029.21,33.33,23.57,27.39,10.11,3781.10,-1.97,0.13,0.06,490.64,0.04,5.01,3.50
20170223,2:15 PM,GC,37.423306,GC2,218,41.59,,,,,3.91,1.28,,1182.564841,0.33,840.2520385,53.95,65.21,308.34,1685.41,2.34,59.36,38.00,1050.93,33.23,22.58,27.70,10.64,3791.37,-1.96,0.13,0.06,491.74,0.05,5.03,3.52
20170223,2:15 PM,GC,37.423306,GC3,218,41.85,,,,,3.00,1.34,,1187.319885,0.67,845.0704225,43.58,57.65,311.79,1740.20,2.41,58.75,23.93,957.33,33.06,23.16,29.31,10.11,3800.50,-1.97,0.14,0.06,491.59,0.05,5.00,3.48
20170223,2:45 PM,SW,37.439489,SW1,,44.22,,,,,3.58,1.36,,1172.04611,0.78,870.6449222,54.85,51.25,296.32,1708.33,2.39,57.81,24.14,1090.24,32.79,24.07,30.56,9.98,3840.45,-1.94,0.12,0.06,491.37,0.05,5.02,3.60
20170223,2:45 PM,SW,37.439489,SW2,,43.26,,,,,3.68,1.54,,1174.351585,0.55,854.3365456,52.20,57.02,301.60,1688.63,2.53,59.18,24.47,1086.57,32.69,22.66,28.65,10.20,3817.62,-1.93,0.12,0.06,490.72,0.05,5.04,3.60
20170223,2:45 PM,SW,37.439489,SW3,,42.50,,,,,3.76,1.31,,1159.365994,0.67,653.0763529,47.74,59.52,295.96,1468.40,2.26,58.19,28.83,1047.72,32.40,21.92,27.72,10.35,3839.31,-1.92,0.12,0.06,490.64,0.04,4.99,3.54
